HREF	Assembly	Biosample	Description	BioRep	TechRep	Lab	Accession	Experiment
/files/ENCFF706SFK/@@download/ENCFF706SFK.hic	hg19	Homo sapiens mammary epithelial cell female	HMEC dilution Hi-C	1	1_1	Erez Aiden, Baylor	ENCFF706SFK	ENCSR080ODG
/files/ENCFF922ERE/@@download/ENCFF922ERE.hic	hg19	Homo sapiens hTERT RPE-1		1 2 3 4	1_1 2_1 3_1 3_2 4_1 4_2	Erez Aiden, Baylor	ENCFF922ERE	ENCSR846DUS
/files/ENCFF876OWE/@@download/ENCFF876OWE.hic	GRCh38	Homo sapiens hTERT RPE-1		1 2 3 4	1_1 2_1 3_1 3_2 4_1 4_2	Erez Aiden, Baylor	ENCFF876OWE	ENCSR846DUS
/files/ENCFF227XJZ/@@download/ENCFF227XJZ.hic	hg19	Homo sapiens GM12878	DpnII in situ GM12878 experiment	1	1_3	Erez Aiden, Baylor	ENCFF227XJZ	ENCSR968KAY
/files/ENCFF053BXY/@@download/ENCFF053BXY.hic	hg19	Homo sapiens GM12878	DpnII in situ GM12878 experiment	2	2_2	Erez Aiden, Baylor	ENCFF053BXY	ENCSR968KAY
/files/ENCFF014VMM/@@download/ENCFF014VMM.hic	hg19	Homo sapiens GM12878	DpnII in situ GM12878 experiment	1	1_1	Erez Aiden, Baylor	ENCFF014VMM	ENCSR968KAY
/files/ENCFF563XES/@@download/ENCFF563XES.hic	hg19	Homo sapiens GM12878	DpnII in situ GM12878 experiment	1	1_2	Erez Aiden, Baylor	ENCFF563XES	ENCSR968KAY
/files/ENCFF482LGO/@@download/ENCFF482LGO.hic	hg19	Homo sapiens GM12878	DpnII in situ GM12878 experiment	2	2_1	Erez Aiden, Baylor	ENCFF482LGO	ENCSR968KAY
/files/ENCFF216QQM/@@download/ENCFF216QQM.hic	GRCh38	Homo sapiens GM12878	DpnII in situ GM12878 experiment	1 2	1_1 1_2 1_3 2_1 2_2	Erez Aiden, Baylor	ENCFF216QQM	ENCSR968KAY
/files/ENCFF045YOM/@@download/ENCFF045YOM.hic	mm9	Mus musculus strain RosaCreERTam/Myc flox/flox mature B cell treated with 1 mg tamoxifen for 96 hours, 1 mg tamoxifen for 72 hours, 1 mg tamoxifen for 24 hours, 50 Î¼g/mL lipopolysaccharide for 72 hours, 5 ng/mL Interleukin-4 for 72 hours, 500 ng/mL anti-CD180 for 72 hours	in situ Hi-C of mouse primary cells: MYC KO B cells activated with LPS, IL4, anti-CD180 for 72 hours	1 2 3 4 5 6 7	1_1 1_2 1_3 1_4 1_5 2_1 2_2 2_3 2_4 2_5 2_6 3_1 3_2 3_3 3_4 3_5 3_6 4_1 4_2 4_3 4_4 4_5 4_6 5_1 6_1 7_1	Erez Aiden, Baylor	ENCFF045YOM	ENCSR368TIW
/files/ENCFF013TGD/@@download/ENCFF013TGD.hic	hg19	Homo sapiens K562	K562 in situ Hi-C experiment	1	1_2	Erez Aiden, Baylor	ENCFF013TGD	ENCSR545YBD
/files/ENCFF929RPW/@@download/ENCFF929RPW.hic	hg19	Homo sapiens K562	K562 in situ Hi-C experiment	2	2_3	Erez Aiden, Baylor	ENCFF929RPW	ENCSR545YBD
/files/ENCFF996XEO/@@download/ENCFF996XEO.hic	hg19	Homo sapiens K562	K562 in situ Hi-C experiment	2	2_2	Erez Aiden, Baylor	ENCFF996XEO	ENCSR545YBD
/files/ENCFF097SKJ/@@download/ENCFF097SKJ.hic	hg19	Homo sapiens K562	K562 in situ Hi-C experiment	2	2_1	Erez Aiden, Baylor	ENCFF097SKJ	ENCSR545YBD
/files/ENCFF464KRA/@@download/ENCFF464KRA.hic	hg19	Homo sapiens K562	K562 in situ Hi-C experiment	2	2_4	Erez Aiden, Baylor	ENCFF464KRA	ENCSR545YBD
/files/ENCFF406HHC/@@download/ENCFF406HHC.hic	hg19	Homo sapiens K562	K562 in situ Hi-C experiment	1	1_1	Erez Aiden, Baylor	ENCFF406HHC	ENCSR545YBD
/files/ENCFF080DPJ/@@download/ENCFF080DPJ.hic	GRCh38	Homo sapiens K562	K562 in situ Hi-C experiment	1 2 3 4	1_1 1_2 2_1 2_2 2_3 2_4 3_1 3_2 4_1 4_2 4_3	Erez Aiden, Baylor	ENCFF080DPJ	ENCSR545YBD
/files/ENCFF491AOR/@@download/ENCFF491AOR.hic	hg19	Homo sapiens mammary epithelial cell	HMEC in situ Hi-C	2	2_3	Erez Aiden, Baylor	ENCFF491AOR	ENCSR380YQA
/files/ENCFF307PDL/@@download/ENCFF307PDL.hic	hg19	Homo sapiens mammary epithelial cell	HMEC in situ Hi-C	2	2_5	Erez Aiden, Baylor	ENCFF307PDL	ENCSR380YQA
/files/ENCFF773ITV/@@download/ENCFF773ITV.hic	hg19	Homo sapiens mammary epithelial cell	HMEC in situ Hi-C	2	2_1	Erez Aiden, Baylor	ENCFF773ITV	ENCSR380YQA
/files/ENCFF198SSL/@@download/ENCFF198SSL.hic	hg19	Homo sapiens mammary epithelial cell	HMEC in situ Hi-C	2	2_2	Erez Aiden, Baylor	ENCFF198SSL	ENCSR380YQA
/files/ENCFF251UEF/@@download/ENCFF251UEF.hic	hg19	Homo sapiens mammary epithelial cell	HMEC in situ Hi-C	2	2_4	Erez Aiden, Baylor	ENCFF251UEF	ENCSR380YQA
/files/ENCFF942LTN/@@download/ENCFF942LTN.hic	hg19	Homo sapiens mammary epithelial cell	HMEC in situ Hi-C	1	1_1	Erez Aiden, Baylor	ENCFF942LTN	ENCSR380YQA
